4.2	0.7	-0.9	-2.5	-5.6	-8.6	-15.3	-21.4
4.6	1.2	-0.3	-1.8	-4.6	-7.4	-13.8	-19.5
5.1	2.9	1.4	0.3	-1.9	-4.1	-9.5	-14.3
6.4	4.5	3.7	2.9	1.3	-0.2	-4	-7.6
6.9	6.4	5.9	5.5	4.7	3.8	1.8	-0.2
8	8	8	8	8	8	8	8
9.1	9.6	10.1	10.6	11.5	12.4	14.8	16.8
9.6	11.5	12.5	13.3	15.4	17.4	22.9	27.6
10.9	13.5	15	16.4	19.7	23	32.6	44
11.7	15.4	17.5	19.4	24	28.9	43.2	44
12	16.4	18.7	21.2	26.4	32.1	44	44
11.7	15.7	17.8	20	24.7	29.9	44	44
10.9	13.8	15.3	17.1	20.4	24	34.5	44
9.6	11.7	12.8	13.6	15.7	17.9	23.8	30.8
9.1	9.6	10.2	10.7	11.6	12.6	15.1	18
8	8	8	8	8	8	8	8
6.9	6.4	5.9	5.5	4.7	3.9	1.8	-0.3
6.4	4.8	3.8	3	1.4	0	-3.8	-7.5
5.8	2.9	1.8	0.7	-1.6	-3.8	-9.1	-14
4.6	1.5	0	-1.5	-4.3	-7.1	-13.3	-19.1
4.2	0.7	-0.9	-2.5	-5.6	-8.6	-15.3	-21.4
