-6.1	-9	-10.5	-11.8	-14.5	-17.1	-23.1	-28.7
-6.4	-9.5	-10.4	-11.6	-14.4	-16.8	-22.5	-27.8
-5.2	-7.8	-8.9	-10.3	-12.5	-14.4	-19.3	-23.8
-4.6	-6.2	-7.2	-7.8	-9.4	-10.9	-14.3	-17.6
-4.1	-4.6	-5.1	-5.4	-6.2	-6.9	-8.7	-10.5
-3	-3	-3	-3	-3	-3	-3	-3
-1.9	-1.5	-0.9	-0.7	0.1	0.9	2.9	5
-1.4	-0.1	0.7	1.5	3.1	4.8	9.1	13.7
-0.8	1.4	2.5	3.9	6.2	8.8	15.7	23.7
0.4	3.5	4.4	5.9	9.3	12.7	22.7	34.7
0.3	3.8	5.6	7.5	11.5	15.8	28.2	44
0.4	3.8	5.6	7.5	11.5	15.8	28.8	44
-0.1	2.5	4	5.4	8.8	12.3	22.5	35.6
-1.4	0.7	1.5	2.6	4.7	6.9	13.1	20.6
-1.9	-1.4	-0.8	-0.4	0.6	1.6	4.3	7.3
-3	-3	-3	-3	-3	-3	-3	-3
-4.1	-4.5	-5.1	-5.3	-6.1	-6.9	-8.9	-11
-4.6	-5.9	-6.7	-7.3	-8.8	-10.2	-13.8	-17.5
-5.2	-7.4	-8.1	-9.2	-11.4	-13.2	-18	-22.7
-6.4	-7.9	-9.5	-10.7	-13.2	-15.6	-21.2	-26.6
-6.1	-9	-10.5	-11.8	-14.5	-17.1	-23.1	-28.7
