-7	-9.9	-11.3	-12.6	-15.2	-17.7	-23.6	-29
-7.4	-8.9	-10.8	-12	-14.5	-16.9	-22.5	-27.6
-6.2	-8.4	-9.5	-10.6	-12.7	-14.6	-19.1	-23.6
-5.6	-6.9	-7.7	-8.5	-9.9	-11.2	-14.6	-17.9
-5.1	-5.5	-6.1	-6.2	-7	-7.7	-9.5	-11.3
-4	-4	-4	-4	-4	-4	-4	-4
-2.9	-2.5	-1.9	-1.7	-0.9	-0.1	2	4.2
-2.4	-0.8	0	0.8	2.3	4	8.6	13.8
-1.8	0.4	1.8	3	5.6	8.4	15.8	24.7
-0.6	2.5	3.4	5.2	8.6	12.3	22.8	35.8
-0.8	2.6	4.4	6.2	10.1	14.4	26.6	42.2
-0.6	2.5	3.7	5.5	9.2	13.2	24.5	38.8
-1.8	0.8	2.2	3.7	6.3	9.2	17.6	27.9
-2.4	-0.8	0	1	2.7	4.6	9.7	15.6
-2.9	-2.4	-1.9	-1.6	-0.8	0.1	2.3	4.8
-4	-4	-4	-4	-4	-4	-4	-4
-5.1	-5.5	-6.1	-6.2	-7	-7.7	-9.5	-11.4
-5.6	-6.9	-7.7	-8.3	-9.8	-11.1	-14.5	-17.8
-6.2	-8.4	-9.1	-10.2	-12.4	-14.2	-18.9	-23.3
-7.4	-8.9	-10.5	-12	-14.2	-16.6	-22.1	-27.3
-7	-9.9	-11.3	-12.6	-15.2	-17.7	-23.6	-29
