-13.7	-16.3	-17.6	-18.8	-21.2	-23.6	-29.1	-34.3
-14.4	-15.9	-17.5	-18.7	-20.9	-23.3	-28.5	-33.5
-13.2	-15.4	-16.5	-17.6	-19.4	-21.3	-25.9	-30
-12.6	-13.9	-14.7	-15.5	-16.9	-18.2	-21.5	-24.6
-12.1	-12.5	-13.1	-13.2	-14	-14.6	-16.3	-18
-11	-11	-11	-11	-11	-11	-11	-11
-9.9	-9.6	-9.4	-8.9	-8.1	-7.4	-5.6	-3.7
-9.4	-8.1	-7.5	-6.8	-5.4	-3.9	0	4.1
-8.8	-7	-5.9	-4.8	-2.6	-0.4	5.6	12.3
-7.6	-6.1	-4.5	-3.3	-0.2	2.8	10.9	20.6
-8.2	-5.2	-3.6	-2	1.3	4.9	14.9	27.2
-7.6	-4.5	-3.6	-2.1	1.3	5	15.3	28.2
-8.8	-6.2	-4.8	-3.7	-0.7	2.4	10.9	21.5
-9.4	-7.8	-6.8	-5.9	-4	-2	3.5	10
-9.9	-9.4	-8.9	-8.6	-7.7	-6.8	-4.3	-1.5
-11	-11	-11	-11	-11	-11	-11	-11
-12.1	-12.4	-12.6	-13.2	-13.9	-14.6	-16.6	-18.6
-12.6	-13.9	-14.5	-15	-16.3	-17.7	-21.2	-24.6
-13.2	-15	-15.8	-16.8	-18.7	-20.5	-24.9	-29.3
-14.4	-15.9	-17.5	-18.1	-20.2	-22.4	-27.7	-32.8
-13.7	-16.3	-17.6	-18.8	-21.2	-23.6	-29.1	-34.3
