17	17	17	17	17	17	17	17
15.9	15.4	14.9	14.5	13.8	13	11.2	9.9
15.4	13.5	12.8	12	10.4	9	5.5	2.3
14.8	12.2	11.1	9.7	7.8	5.6	0.8	-3.6
13.6	12.1	9.9	8.7	6.2	3.8	-1.8	-7
14.2	11.4	10.1	8.8	6.3	3.8	-2	-7.5
13.6	12.1	10.5	9.6	7.5	5	-0.5	-5.8
14.8	13	11.9	11.1	9	7.2	2.4	-2.4
15.4	14.1	13.5	12.7	11.2	9.8	6.1	2.2
15.9	15.4	14.9	14.7	13.8	13	10.8	8.5
17	17	17	17	17	17	17	17
18.1	18.6	19.3	19.8	20.8	21.9	25	28.6
18.6	20.7	21.8	22.9	25.2	27.5	34.4	43
19.9	22.5	24	25.7	28.8	32.4	42.8	44
20.4	23.5	25	26.8	30.5	34.6	44	44
20	23.1	24.7	26.4	29.9	33.6	44	44
20.4	21.9	23.5	25	27.8	30.9	39.2	44
19.2	21	22.1	23.2	25.4	27.7	33.7	40.2
18.6	19.9	20.7	21.3	22.8	24.2	28.1	32.2
18.1	18.5	19.1	19.3	20	20.7	22.6	24.1
17	17	17	17	17	17	17	17
