8	4.2	2.4	0.7	-2.6	-5.7	-12.7	-19
8.3	4.9	3.1	1.8	-1.3	-4.3	-10.9	-16.9
9.1	6.5	5.4	4	1.7	-0.8	-6.2	-11.3
10.4	8.5	7.5	6.7	5.1	3.4	-0.4	-4.2
10.9	10.4	9.8	9.4	8.6	7.7	5.6	3.6
12	12	12	12	12	12	12	12
13.1	13.6	14.2	14.7	15.6	16.6	19.2	20.4
13.6	15.7	16.8	17.6	19.8	21.9	27.8	30.9
14.9	17.9	19.3	21.1	24.5	28.1	38.6	44
15.7	20	22.2	24.6	29.3	34.7	44	44
16.4	21.1	23.7	26.3	32	38.4	44	44
16	20.3	22.5	24.9	29.9	35.6	44	44
14.9	18.2	19.7	21.5	25.1	28.9	40	44
14.1	15.7	16.8	17.9	20	22.3	28.5	35.8
13.1	13.6	14.3	14.8	15.7	16.7	19.4	22.3
12	12	12	12	12	12	12	12
10.9	10.4	9.8	9.4	8.6	7.7	5.6	3.5
10.4	8.5	7.7	6.9	5.1	3.6	-0.3	-4.1
9.1	6.5	5.4	4.3	1.8	-0.5	-5.9	-11
8.3	4.9	3.4	1.9	-1.2	-4	-10.6	-16.6
8	4.2	2.4	0.7	-2.6	-5.7	-12.7	-19
