-2.4	-5.6	-7.2	-8.7	-11.6	-14.4	-21	-27.2
-2.4	-5.8	-7.6	-9.1	-12	-14.7	-21.2	-27.1
-1.9	-4.9	-6.3	-7.7	-10.3	-12.8	-18.3	-23.3
-1.1	-3	-4.1	-4.9	-6.8	-8.5	-12.4	-16
-0.1	-1.1	-1.4	-1.9	-2.7	-3.6	-5.6	-7.5
1	1	1	1	1	1	1	1
2.1	2.6	3.1	3.5	4.3	5.2	7.3	9.4
2.6	4.2	5	5.8	7.6	9.2	13.5	18.1
3.2	5.8	6.9	8	10.6	13.1	20.1	27.8
4.4	7.5	8.7	10.5	13.9	17.4	27.4	39.1
4.6	8.4	10.4	12.5	16.8	21.5	35	44
4.7	9	11.1	13.3	18.3	23.7	39.9	44
4.3	8	9.8	12	16.3	21.1	35.9	44
3.1	5.8	6.9	8.2	11.1	14.2	23.3	26.5
2.1	3.1	3.7	4.3	5.5	6.8	10.6	12.4
1	1	1	1	1	1	1	1
-0.1	-0.6	-1.2	-1.6	-2.5	-3.5	-5.9	-8.5
-0.6	-2.2	-3	-3.8	-5.4	-7	-11.1	-15.4
-1.2	-3.4	-4.5	-5.6	-7.8	-10	-15.4	-20.6
-2.4	-3.9	-6.1	-7.3	-10.1	-12.6	-18.7	-24.7
-2.4	-5.6	-7.2	-8.7	-11.6	-14.4	-21	-27.2
