-0.4	-3.7	-5.2	-6.7	-9.6	-12.4	-18.8	-24.7
-0.4	-3.5	-5	-6.5	-9.3	-12	-18	-23.6
0.1	-2.1	-3.6	-4.7	-6.9	-9.1	-14.3	-19.1
1.4	-0.5	-1.3	-2.1	-3.7	-5.3	-8.9	-12.4
1.9	1.4	0.9	0.5	-0.3	-1.1	-3	-4.9
3	3	3	3	3	3	3	3
4.1	4.6	5.1	5.4	6.3	7.1	9.3	11.5
4.6	6.2	7	7.8	9.6	11.4	16.1	21.3
5.2	7.8	9.2	10.3	13.2	16.1	23.8	32.9
6.4	9.5	11.3	13.1	16.8	20.8	32.4	44
6.7	10.6	12.7	14.8	19.4	24.4	39.2	44
6.7	10.4	12.5	14.7	19.3	24.2	39.2	44
5.9	8.9	10.7	12.2	15.8	19.6	30.8	44
4.6	6.7	7.8	8.9	11	13.4	19.9	27.8
4.1	4.6	5.2	5.7	6.7	7.7	10.5	13.7
3	3	3	3	3	3	3	3
1.9	1.4	0.9	0.6	-0.2	-1	-3.1	-5.3
1.4	-0.2	-1	-1.5	-3.1	-4.7	-8.3	-12
0.8	-1.4	-2.5	-3.6	-5.8	-7.9	-13	-17.8
-0.4	-3.5	-4.1	-5.6	-8.1	-10.8	-16.7	-22.3
-0.4	-3.7	-5.2	-6.7	-9.6	-12.4	-18.8	-24.7
